Date,Type,Reg,From,To,App,SELDay,SELNight,MELDay,MELNight,TWDay,TWNight,ASEL,AMEL,TAA,HighPerf,CPlex,TWheel,Turbine,Night,ActInst,SimInst,FlightSim,XC,XC50NM,CFI,Dual,PIC,SIC,Total,TotaltoDate,Total:,2812.5,113,1000,1263.3,1466.4,
7/14/16,PA28-161,N245ND,KDKB,KDKB,,2.0,,,,,,0.8,,,,,,,,,,,,,,0.8,,,0.8,0.8,PA28-140,2.3,0,2.3,,2.3,
7/20/16,PA28-161,N245ND,KDKB,KDKB,,3.0,,,,,,1.0,,,,,,,,,0.3,,,,,1.0,,,1.0,1.8,PA28-151,6.7,5,0,,4.9,
7/22/16,PA28-161,N245ND,KDKB,KDKB,,3.0,,,,,,1.1,,,,,,,,,0.2,,,,,1.1,,,1.1,2.9,PA28-161,54.7,37.3,0,,22.7,
8/5/16,PA28-161,N8427G,KDKB,KDKB,,3.0,,,,,,1.2,,,,,,,,,0.2,,,,,1.2,,,1.2,4.1,PA28-181,251.4,10.8,3.1,,251.4,
8/15/16,PA28-161,N8427G,KDKB,KDKB,,4.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,5.1,PA28RT-201,0.8,0.8,0.0,,0.0,
8/19/16,PA28-161,N8427G,KDKB,KDKB,,3.0,,,,,,0.8,,,,,,,,,,,,,,0.8,,,0.8,5.9,PA28-201,42.7,2.4,37.9,,42.7,
8/26/16,PA28-161,N8427G,KDKB,KDKB,,3.0,,,,,,0.8,,,,,,,,,0.3,,,,,0.8,,,0.8,6.7,PA32R-301,2.0,0.0,2.0,,2.0,
9/4/16,PA28-161,N8427G,KDKB,KDKB,,6.0,,,,,,0.9,,,,,,,,,,,,,,0.9,,,0.9,7.6,PA44-180,4.0,0.0,0.5,,4.0,
9/17/16,PA28-161,N8427G,KDKB,KDKB,,3.0,,,,,,0.9,,,,,,,,,0.2,,,,,0.9,,,0.9,8.5,C-140,4.1,4.1,0.0,,4.1,
9/22/16,PA28-161,N8427G,KDKB,KDKB,,6.0,,,,,,1.0,,,,,,,,,,,,,,0.4,0.6,,1.0,9.5,C-150F,3.1,0.0,3.1,,3.1,
10/8/16,PA28-161,N8427G,KDKB,KDKB,,,5.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,10.5,C-150L,32.0,0.0,29.1,,32.0,
10/29/16,PA28-161,N8427G,KDKB,KDKB,,2.0,,,,,,0.9,,,,,,,,,,,,,,0.9,,,0.9,11.4,C-152,66.2,2.5,54.9,,64.6,
11/12/16,PA28-161,N8427G,KDKB,KDKB,,6.0,,,,,,1.0,,,,,,,,,,,,,,0.3,0.7,,1.0,12.4,C-172N,269.6,18.1,219.3,,259.7,
12/10/16,PA28-161,N8427G,KDKB,KARR-KDKB,,4.0,,,,,,1.1,,,,,,,,,,,,,,1.1,,,1.1,13.5,C-172R,66.5,2.7,61.8,,64.7,
1/28/17,PA28-161,N8427G,KDKB,KDKB,,8.0,,,,,,1.1,,,,,,,,,,,,,,1.1,,,1.1,14.6,C-172P,11.2,0.0,11.2,,11.2,
2/5/17,PA28-161,N8427G,KDKB,KARR-KDKB,,4.0,,,,,,1.3,,,,,,,,,,,,,,1.3,,,1.3,15.9,C-182T NAVIII,5.1,3.8,0.0,,4.0,
2/9/17,PA28-161,N8427G,KDKB,KRFD-KDKB,,5.0,,,,,,1.1,,,,,,,,,0.3,,,,,1.1,,,1.1,17.0,C-172R NAVIII,54.9,3.5,51.4,,54.9,
2/18/17,PA28-161,N245ND,KDKB,KARR-KDKB,,5.0,,,,,,1.4,,,,,,,,,,,,,,0.6,0.8,,1.4,18.4,C-172S NAVIII,124.6,2.3,117.5,,124.6,
